seed,percent of training data,normal shots,domain shift,classification AUROC,pixel level AUROC,per-region-overlap (PRO) AUROC
1959,1,3,same,55.600000,88.210424,86.300000
1959,1,3,background,58.100000,90.563182,88.100000
1959,1,3,illumination,67.700000,82.421589,81.300000
1959,1,3,view,49.600000,84.437785,83.900000
1959,1,3,mean,57.750000,86.408245,84.900000
7575,1,3,same,69.500000,91.047195,88.000000
7575,1,3,background,73.200000,87.884929,87.600000
7575,1,3,illumination,58.200000,77.905997,75.600000
7575,1,3,view,70.400000,89.551084,86.200000
7575,1,3,mean,67.825000,86.597301,84.350000
5890,1,3,same,55.700000,87.869678,85.000000
5890,1,3,background,67.000000,84.617935,85.900000
5890,1,3,illumination,53.800000,83.928017,83.000000
5890,1,3,view,45.600000,86.066032,84.800000
5890,1,3,mean,55.525000,85.620416,84.675000
1088,3,13,same,71.700000,89.988291,85.900000
1088,3,13,background,73.800000,87.565259,88.000000
1088,3,13,illumination,72.700000,89.078280,85.400000
1088,3,13,view,68.000000,86.927941,83.600000
1088,3,13,mean,71.550000,88.389943,85.725000
5456,3,13,same,74.700000,91.032920,86.600000
5456,3,13,background,81.200000,87.710636,87.600000
5456,3,13,illumination,73.200000,89.739228,86.500000
5456,3,13,view,70.300000,89.613361,85.400000
5456,3,13,mean,74.850000,89.524036,86.525000
26753,5,25,same,74.200000,90.583938,85.800000
26753,5,25,background,78.900000,87.946484,88.500000
26753,5,25,illumination,79.700000,91.573982,89.900000
26753,5,25,view,68.700000,86.301837,82.400000
26753,5,25,mean,75.375000,89.101560,86.650000
12819,5,25,same,72.500000,89.169293,84.800000
12819,5,25,background,77.000000,88.176500,88.400000
12819,5,25,illumination,77.800000,90.288162,87.700000
12819,5,25,view,64.700000,84.315796,80.500000
12819,5,25,mean,73.000000,87.987438,85.350000
745,5,25,same,70.600000,90.421166,85.400000
745,5,25,background,78.000000,88.783118,88.800000
745,5,25,illumination,81.800000,91.696736,88.900000
745,5,25,view,64.600000,85.971385,82.300000
745,5,25,mean,73.750000,89.218101,86.350000
11536,10,51,same,78.300000,90.545192,85.800000
11536,10,51,background,83.800000,88.643679,88.900000
11536,10,51,illumination,84.200000,91.180147,89.000000
11536,10,51,view,70.500000,85.347028,82.400000
11536,10,51,mean,79.200000,88.929012,86.525000
22745,10,51,same,74.100000,90.388423,86.400000
22745,10,51,background,81.000000,88.670225,88.700000
22745,10,51,illumination,81.400000,91.348476,89.200000
22745,10,51,view,66.000000,85.736139,82.700000
22745,10,51,mean,75.625000,89.035816,86.750000
20692,15,77,same,81.900000,91.853867,87.900000
20692,15,77,background,86.600000,89.574231,89.700000
20692,15,77,illumination,85.300000,91.599447,89.800000
20692,15,77,view,72.900000,87.110776,84.100000
20692,15,77,mean,81.675000,90.034580,87.875000
11979,15,77,same,79.700000,91.818655,87.800000
11979,15,77,background,77.800000,89.248427,89.500000
11979,15,77,illumination,88.500000,91.979027,89.900000
11979,15,77,view,73.000000,87.017013,83.400000
11979,15,77,mean,79.750000,90.015781,87.650000
1578,15,77,same,77.000000,91.187220,87.200000
1578,15,77,background,82.700000,89.579021,89.500000
1578,15,77,illumination,83.200000,91.859781,90.000000
1578,15,77,view,74.500000,86.478951,83.300000
1578,15,77,mean,79.350000,89.776243,87.500000
19688,25,129,same,77.400000,91.386529,88.100000
19688,25,129,background,85.200000,89.538246,89.800000
19688,25,129,illumination,86.100000,91.965389,90.500000
19688,25,129,view,70.100000,86.171155,83.700000
19688,25,129,mean,79.700000,89.765330,88.025000
9627,25,129,same,79.600000,91.564618,87.800000
9627,25,129,background,84.500000,89.593536,89.600000
9627,25,129,illumination,85.500000,92.129277,90.300000
9627,25,129,view,73.200000,86.805245,84.000000
9627,25,129,mean,80.700000,90.023169,87.925000
22644,35,180,same,80.500000,92.204102,88.900000
22644,35,180,background,84.300000,89.871594,90.200000
22644,35,180,illumination,86.600000,92.207070,90.100000
22644,35,180,view,75.300000,87.729612,85.300000
22644,35,180,mean,81.675000,90.503095,88.625000
5998,35,180,same,83.300000,92.383040,88.500000
5998,35,180,background,86.100000,90.203110,90.200000
5998,35,180,illumination,86.400000,92.421768,90.300000
5998,35,180,view,75.000000,87.785422,85.100000
5998,35,180,mean,82.700000,90.698335,88.525000
30260,35,180,same,80.000000,92.200596,88.500000
30260,35,180,background,83.200000,89.568420,90.200000
30260,35,180,illumination,86.600000,92.201190,90.400000
30260,35,180,view,75.500000,87.223076,85.100000
30260,35,180,mean,81.325000,90.298320,88.550000
23933,45,233,same,82.400000,92.408689,88.900000
23933,45,233,background,86.000000,89.694342,90.300000
23933,45,233,illumination,86.000000,92.323795,90.200000
23933,45,233,view,78.400000,88.042274,85.800000
23933,45,233,mean,83.200000,90.617275,88.800000
17155,45,233,same,81.200000,92.231086,88.700000
17155,45,233,background,85.900000,89.650243,90.300000
17155,45,233,illumination,87.200000,92.316360,90.200000
17155,45,233,view,76.200000,87.300870,85.100000
17155,45,233,mean,82.625000,90.374640,88.575000
18713,55,285,same,82.300000,92.544546,89.000000
18713,55,285,background,85.600000,89.790973,90.600000
18713,55,285,illumination,87.200000,92.166553,90.000000
18713,55,285,view,75.000000,87.917268,85.400000
18713,55,285,mean,82.525000,90.604835,88.750000
414,55,285,same,84.100000,92.704460,89.200000
414,55,285,background,85.600000,89.681045,90.300000
414,55,285,illumination,89.000000,92.621732,90.300000
414,55,285,view,78.200000,88.433088,86.000000
414,55,285,mean,84.225000,90.860081,88.950000
25186,55,285,same,83.900000,92.590741,89.000000
25186,55,285,background,87.300000,89.711631,90.600000
25186,55,285,illumination,87.200000,92.165707,89.900000
25186,55,285,view,76.900000,87.799877,85.500000
25186,55,285,mean,83.825000,90.566989,88.750000
15383,70,363,same,84.000000,92.793877,89.400000
15383,70,363,background,84.700000,89.033415,90.300000
15383,70,363,illumination,88.400000,92.556377,90.300000
15383,70,363,view,78.000000,88.278421,86.000000
15383,70,363,mean,83.775000,90.665523,89.000000
27733,70,363,same,85.000000,93.022995,89.200000
27733,70,363,background,85.800000,88.950770,90.300000
27733,70,363,illumination,88.600000,92.565214,90.200000
27733,70,363,view,78.800000,88.598181,86.100000
27733,70,363,mean,84.550000,90.784290,88.950000
23218,85,441,same,85.000000,93.199216,89.500000
23218,85,441,background,87.000000,88.817302,90.100000
23218,85,441,illumination,88.700000,92.516579,90.100000
23218,85,441,view,79.500000,88.748009,86.500000
23218,85,441,mean,85.050000,90.820276,89.050000
4599,85,441,same,84.700000,93.096218,89.700000
4599,85,441,background,83.100000,86.276805,89.900000
4599,85,441,illumination,89.300000,92.763408,90.300000
4599,85,441,view,79.600000,88.540670,86.300000
4599,85,441,mean,84.175000,90.169275,89.050000
22652,85,441,same,85.200000,93.083285,89.500000
22652,85,441,background,84.800000,88.651804,90.400000
22652,85,441,illumination,88.800000,92.748124,90.500000
22652,85,441,view,78.900000,88.467048,86.200000
22652,85,441,mean,84.425000,90.737565,89.150000
24334,100,521,same,86.200000,93.254206,89.800000
24334,100,521,background,84.700000,88.189968,90.400000
24334,100,521,illumination,88.600000,92.583022,89.900000
24334,100,521,view,79.300000,88.876927,86.700000
24334,100,521,mean,84.700000,90.726031,89.200000
22002,100,521,same,85.700000,93.242722,89.800000
22002,100,521,background,83.200000,86.804255,89.900000
22002,100,521,illumination,88.700000,92.564103,90.100000
22002,100,521,view,79.100000,88.839513,86.700000
22002,100,521,mean,84.175000,90.362648,89.125000
3911,1,3,same,69.800000,89.985570,84.900000
3911,1,3,background,57.000000,86.933191,86.200000
3911,1,3,illumination,55.500000,82.943855,80.200000
3911,1,3,view,75.200000,89.924151,85.000000
3911,1,3,mean,64.375000,87.446692,84.075000
3433,1,3,same,68.400000,89.709368,84.300000
3433,1,3,background,72.300000,87.690726,86.300000
3433,1,3,illumination,62.900000,80.621651,77.000000
3433,1,3,view,74.300000,88.539633,83.200000
3433,1,3,mean,69.475000,86.640344,82.700000
28591,3,13,same,79.800000,91.504214,84.300000
28591,3,13,background,84.400000,87.325008,85.000000
28591,3,13,illumination,73.200000,90.314643,86.400000
28591,3,13,view,77.800000,89.578010,84.400000
28591,3,13,mean,78.800000,89.680469,85.025000
21891,3,13,same,79.700000,91.263965,84.900000
21891,3,13,background,80.100000,86.963197,86.600000
21891,3,13,illumination,74.700000,89.989641,86.800000
21891,3,13,view,76.200000,89.716040,84.400000
21891,3,13,mean,77.675000,89.483211,85.675000
8015,3,13,same,79.000000,90.588133,84.900000
8015,3,13,background,80.000000,85.643077,87.100000
8015,3,13,illumination,73.400000,88.501134,84.600000
